ID,CLASS,Assignment,Company,Address,City,state,zip,country,Gem SQ,Gem Solar,Unnamed: 11,Sq Ft,Industry,Sub Industry,Notes,Geocoded_address,X,Y,Operator,Utility,Est. deal size,Resiliency Need,Owner-occupied?,Unnamed: 24,Unnamed: 25
69,CORE,X,Amazon,2 Brick Yard Rd,Cranbury,NJ,8512,United States,,,N,,Warehouse,,,"2 Brick Yard Rd, Cranbury, New Jersey, 08512",-74.5201,40.29115,PJM,PSE&G,,,,,
70,CORE,X,Amazon,343 Half Acre Rd,East Windsor,NJ,8512,United States,,,N,,Distribution,,,"343 Half Acre Rd, Cranbury, New Jersey, 08512",-74.4945,40.3152,PJM,JCP&L,,,,,
71,CORE,X,Amazon,22 Hightstown-Cranbury Station Rd,East Windsor,NJ,8512,United States,,,,"968,400",Distribution,,,"22 Hightstown-Cranbury Station Rd, East Windsor, NJ 08512",-74.5043,40.29291,PJM,JCP&L,,,,,
72,CORE,X,Amazon,2205 State Route 27,Edison,NJ,8817,United States,,,N,,Distribution,,,"2205 State Route 27, Edison, New Jersey, 08817",-74.3806,40.53109,PJM,PSE&G,,,,,
73,CORE,X,Amazon,2170 Lincoln Hwy,Edison,NJ,8817,United States,,,PV,,Distribution,,,"2170 Lincoln Hwy, Edison, New Jersey, 08817",-74.3821,40.52975,PJM,PSE&G,,,,,
74,CORE,X,Amazon,309 Cedar Ln,Florence,NJ,8518,United States,,,PV,,Distribution,,,"309 Cedar Ln, Florence, New Jersey, 08518",-74.7985,40.11107,PJM,PSE&G,,,,,
75,CORE,X,Amazon,1800 Lower Rd,Linden,NJ,7036,United States,,,N,,Warehouse,,,"1800 Lower Rd, Linden, New Jersey, 07036",-74.253,40.60853,PJM,PSE&G,,,,,
76,CORE,X,Amazon,2651 Oldmans Creek Rd,Logan Township,NJ,8085,United States,,,PV,,Distribution,,,"2651 Oldmans Creek Rd, Swedesboro, New Jersey, 08085",-75.3812,39.75689,PJM,ACE,,,,,
77,CORE,X,Amazon,1150 Commerce Blvd,Logan Township,NJ,8085,United States,,,N,,Distribution,,,"1150 Commerce Blvd, Swedesboro, New Jersey, 08085",-75.3826,39.76505,PJM,ACE,,,,,
78,CORE,X,Amazon,429 Delancy St,Newark,NJ,7105,United States,,,N,,Distribution,,,"429 Delancy St, Newark, New Jersey, 07105",-74.1488,40.71582,PJM,PSE&G,,,,,
79,CORE,X,Amazon,747 Courses Landing Rd,Penns Grove,NJ,8069,United States,,,N,,Distribution,,,"747 Courses Landing Rd, Penns Grove, New Jersey, 08069",-75.4317,39.68371,PJM,ACE,,,,,
80,CORE,X,Amazon,50 New Canton Way,Robbinsville,NJ,8691,United States,,,N,,Warehouse,,,"50 New Canton Way, Robbinsville, New Jersey, 08691",-74.5664,40.19526,PJM,JCP&L,,,,,
81,CORE,X,Amazon,18 Applegate Dr,Robbinsville,NJ,8691,United States,,,PV,,Distribution,,,"18 Applegate Dr, Robbinsville, New Jersey, 08691",-74.577,40.20188,PJM,JCP&L,,,,,
82,CORE,X,Amazon,Weston Canal Rd,Somerset,NJ,8873,United States,,,PV,,Distribution,,,"Weston Canal Rd, Somerset, New Jersey, 08873",-74.5565,40.54718,PJM,PSE&G,,,,,
83,CORE,X,Amazon,698 Route 46,Teterboro,NJ,7608,United States,,,N,,Distribution,,,"698 US Highway 46, Teterboro, New Jersey, 07608",-74.0595,40.86246,PJM,PSE&G,,,,,
84,CORE,X,Amazon,1251 Jumping Brook Rd,Tinton Falls,NJ,7753,United States,,,N,,Manufacturing,,,"1251 Jumping Brook Rd, Tinton Falls, New Jersey, 07753",-74.0864,40.2254,PJM,JCP&L,,,,,
85,CORE,X,Amazon,240 Mantua Grove Rd,West Deptford,NJ,8066,United States,,,PV,,Warehouse,,,"240 Mantua Grove Rd, West Deptford, New Jersey, 08066",-75.2146,39.8246,PJM,PSE&G,,,,,
86,CORE,X,Amazon,1250 Forest Pky,West Deptford,NJ,8066,United States,,,N,,Warehouse,,,"1250 Forest Pkwy, Paulsboro, New Jersey, 08066",-75.2107,39.82423,PJM,PSE&G,,,,,
87,CORE+,X,Amazon Fullfillment,"1000 Technology Center Drive, Stoughton, Massachusetts, 02072",Stoughton,MA,2720,United States,,,,,,,,"1000 Technology Center Drive, Stoughton, Massachusetts, 02072",-71.0642,42.14915,ISO-NE,N'Grid,,,,,
88,CORE+,X,Amazon Regional First Mile Sortation Center,350 Bartlett St,Northborough,MA,1532,United States,,,,"584,000",Distribution,,Multi-building site,"350 Bartlett Street, Northborough, Massachusetts, 01532",-71.6014,42.31971,ISO-NE,N'Grid,,,,,
89,1,Julia,Amco Engineering,217 Long Hill Cross Rd,Shelton,CT,6484,,,,N,,Manufacturing,,,"217 Long Hill Cross Rd, Shelton, Connecticut, 06484",-73.1054,41.28581,ISO-NE,,Med,Extremely High,,,
90,CORE,Julia,Amcor,10 N Mitchell Ct,Addison,IL,60101,United States,,,N,,Industrial,,,"10 N Mitchell Ct, Addison, Illinois, 60101",-88.035,41.92755,PJM,Comed,Large,Low,No,,
91,CORE,Julia,Amcor,200 S Mitchell Ct,Addison,IL,60101,United States,,,N,"257,974",Industrial,,,"200 S Mitchell Ct, Addison, Illinois, 60101",-88.0355,41.92353,PJM,Comed,Med,Low,No,,
92,CORE,Julia,Amcor,475 N Kirk Rd,Batavia,IL,60510,United States,,,N,"150,366",Industrial,,,"475 N Kirk Rd, Batavia, Illinois, 60510",-88.2789,41.85693,PJM,Comed,Large,Low,Yes,,
93,CORE,Julia,Amcor,625 Sharp St N,Millville,NJ,8332,United States,,,N,,Manufacturing,,,"625 Sharp St N, Millville, New Jersey, 08332",-75.0491,39.40342,PJM,ACE,,,,,
94,CORE,Yonah,Americold,1010 Americold Dr,Rochelle,IL,61068,United States,,,N,"13,071",Refrigeration/Cold Storage,,,"1010 Americold Dr, Rochelle, Illinois, 61068",-89.0345,41.90575,PJM,Comed,Med,High,Yes,,
95,CORE,Yonah,Americold,501 Kentile Rd,South Plainfield,NJ,7080,United States,,,PV,,Refrigeration/Cold Storage,,,"501 Kentile Rd, South Plainfield, New Jersey, 07080",-74.3979,40.57414,PJM,PSE&G,,,,,
96,CORE+,Yonah,Americold Logistics,7 Access Rd,Piscataway,NJ,8854,United States,,,N,"275,600",,,,"7 Access Rd, Piscataway, NJ 08854",-74.4495,40.55517,PJM,PSE&G,,,,,
97,CORE+,Yonah,Americold Realty Trust,24 Northwest Dr,Plainville,CT,6062,Hartford,,,,"288,827",Refrigeration/Cold Storage,,,"24 Northwest Dr, Plainville, Connecticut, 06062",-72.8577,41.69364,ISO-NE,,,,,,
98,1+,Julia,Andler Packaging Group,376 Third St,Everett,MA,2149,United States,,,Y,"72,000",Packaging,,too small,"376 Third Street, Everett, Massachusetts, 02149",-71.0468,42.39958,ISO-NE,N'Grid,,,,7999117,
99,1+,Yonah,Andre G Turenne,400 Main St,Ashland,MA,1721,United States,,,,,,,,"400 Main Street, Ashland, Massachusetts, 01721",-71.4591,42.25466,ISO-NE,Eversource,,,,,
100,1+,Julia,"Angelo Gordon & Co., L.P.",7 Ledgewood Blvd,North Dartmouth,MA,2747,United States,,,,,,,,"7 Ledgewood Boulevard, North Dartmouth, Massachusetts, 02747",-70.9831,41.66324,ISO-NE,Eversource,,,,1.20E+08,
101,CORE,Julia,Anheuser Busch,200 Rt 1,Newark,NJ,7114,United States,,,PV,,Industrial,,,"200 US-1 S, Newark, New Jersey, 07114",-74.1901,40.69334,PJM,PSE&G,,,,,
102,1-,,Ansonia Copper & Brass Inc,75 Liberty St,Ansonia,CT,6401,,,,N,,Manufacturing,,,"75 Liberty St, Ansonia, Connecticut, 06401",-73.0823,41.34964,ISO-NE,,Large,High,,,
103,1-,,Anthony,15-41 Marne St,Hamden,CT,6514,,,,N,,Manufacturing,,,"41 Marne St, Hamden, Connecticut, 06514",-72.9271,41.3552,ISO-NE,,Large,High,,,
104,1+,Yonah,Antonio Costa Props Mgmt,126 Shove St,Fall River,MA,2724,United States,,,,,,,,"126 Shove Street, Fall River, Massachusetts, 02724",-71.1801,41.67643,ISO-NE,N'Grid,,,,,
105,1+,Julia,Argus Realty,109 Howe St,Fall River,MA,2724,United States,,,,,,,,"109 Howe Street, Fall River, Massachusetts, 02724",-71.1765,41.67943,ISO-NE,N'Grid,,,,,
106,1-,,Arif Mehmetaj,58 Old Grays Bridge Rd,Brookfield,CT,6804,,,,N,,Manufacturing,,,"58 Old Grays Bridge Rd, Brookfield, Connecticut, 06804",-73.3986,41.44262,ISO-NE,,Large,Extremely High,,,
107,1+,Yonah,Arizona Beverages,30 Clearview Rd,Edison,NJ,8837,United States,,,N,"458,300",Warehouse,,,"30 Clearview Rd, Edison, NJ, 08837, USA",-74.3283,40.52068,PJM,PSE&G,Single,,,,
108,1,Yonah,Ashcroft Inc.,250 E Main St,Stratford,CT,6614,,,,N,"320,000",Manufacturing,,,"250 E Main St, Stratford, Connecticut, 06614",-73.1182,41.20432,ISO-NE,,Large,Extremely High,,,
109,1+,Julia,AstraZeneca,266 2nd Ave # 200,Waltham,MA,2451,United States,,,,,,,too small,"266 Second Avenue, Waltham, Massachusetts, 02451",-71.2639,42.38891,ISO-NE,Eversource,,,,,
110,1+,Yonah,AT&T,555 Main St,Stamford,CT,6901,Fairfield,,,,"213,174",Warehouse,,,"555 Main St, Stamford, Connecticut, 06901",-73.5354,41.05406,ISO-NE,,,,,,
111,CORE,Yonah,ATI,1357 E Rodney French Blvd,New Bedford,MA,2744,United States,,,N,,Manufacturing,,,"1357 Rodney French Boulevard, New Bedford, Massachusetts, 02744",-70.9043,41.60798,ISO-NE,Eversource,Large,Low,No,,
112,CORE,Yonah,ATI,311 Prestige Park Rd,East Hartford,CT,6108,Hartford,,,N,,Manufacturing,,,"311 Prestige Park Rd, East Hartford, Connecticut, 06108",-72.6,41.78766,ISO-NE,Eversource,Med,Extremely High,No,,
113,CORE+,Yonah,ATI,271 Railroad Hill St,Waterbury,CT,6708,,,,N,,Manufacturing,,,"271 Railroad Hill St, Waterbury, Connecticut, 06708",-73.0394,41.53802,ISO-NE,,Med,High,,,
114,1+,Julia,Atlantic Beverage Distributors,350 Hopping Brook Rd,Holliston,MA,1746,United States,,,N,"106,675",,,,"350 Hopping Brook Road, Holliston, Massachusetts, 01746",-71.4639,42.16509,,Eversource,,,,,
115,1+,Julia,Atlantic Management Corporation,351 Holt Rd,North Andover,MA,1845,United States,,,,"253,700",Business Services,HR & Staffing,,"351 Holt Road, North Andover, Massachusetts, 01845",-71.1246,42.72665,ISO-NE,N'Grid,,,,3.44E+08,www.atlanticmanagement.com
116,1+,Yonah,Atlantic Realty Development Corp.,201 Middlesex Center Blvd,Monroe Township,NJ,8831,United States,,,,"608,768",Warehouse,,,"201 Middlesex Center Blvd, Monroe Township, New Jersey, 08831",-74.4486,40.38512,PJM,JCP&L,Multi,,,,
117,1+,Julia,Aurobindo Pharma USA Inc.,203 Windsor Center Dr,Hightstown,NJ,8520,United States,,,,"567,000",Distribution,,,"203 Windsor Center Dr, East Windsor, New Jersey, 08520",-74.5659,40.28258,PJM,JCP&L,,,,,
118,1+,Yonah,Aurora Products,205 Edison Rd,Orange,CT,6478,,,,N,"125,000",Food Processing,,,"205 Edison Rd, Orange, Connecticut, 06477",-72.9959,41.26115,ISO-NE,,,,,,
119,1+,Yonah,Avedis Zildjian Co,22 Longwater Dr,Norwell,MA,2061,United States,,,,,,,Existing stage 1 Deal,"22 Longwater Drive, Norwell, Massachusetts, 02061",-70.8862,42.16272,ISO-NE,N'Grid,,,,,
120,1+,Julia,AXA Investment Managers US Inc,150 Milford Rd,Hightstown,NJ,8520,United States,,,,"615,000",Warehouse,,,"150 Milford Rd, Hightstown, New Jersey, 08520",-74.5008,40.25894,PJM,JCP&L,Single,,,,
121,1+,Yonah,Axcelis Technologies,108 Cherry Hill Dr,Beverly,MA,1915,United States,,,,"312,000",Manufacturing,,,"108 Cherry Hill Drive, Beverly, Massachusetts, 01915",-70.9071,42.57476,ISO-NE,N'Grid,,,,,
